
Job 1

operação 4, máquina 8, tempo 9
operação 4, máquina 7, tempo 5
operação 4, máquina 6, tempo 4

operação 3, máquina 5, tempo 6
operação 3, máquina 3, tempo 5

operação 2, máquina 4, tempo 5
operação 2, máquina 4, tempo 3

operação 1, máquina 3, tempo 5
operação 1, máquina 1, tempo 4

Job 2

operação 7, máquina 4, tempo 4

operação 6, máquina 8, tempo 4

operação 5, máquina 6, tempo 2
operação 5, máquina 4, tempo 1

operação 4, máquina 8, tempo 7
operação 4, máquina 7, tempo 4

operação 3, máquina 6, tempo 6
operação 3, máquina 4, tempo 1

operação 2, máquina 8, tempo 4

operação 1, máquina 5, tempo 7
operação 1, máquina 3, tempo 5
operação 1, máquina 1, tempo 1

Job 3

operação 5, máquina 2, tempo 4
operação 5, máquina 1, tempo 1

operação 4, máquina 6, tempo 8
operação 4, máquina 4, tempo 7

operação 3, máquina 7, tempo 7

operação 2, máquina 8, tempo 7

operação 1, máquina 8, tempo 8
operação 1, máquina 3, tempo 6

Job 4

operação 4, máquina 8, tempo 5
operação 4, máquina 6, tempo 5
operação 4, máquina 5, tempo 3

operação 3, máquina 6, tempo 6
operação 3, máquina 4, tempo 5
operação 3, máquina 3, tempo 4

operação 2, máquina 8, tempo 4

operação 1, máquina 5, tempo 7
operação 1, máquina 3, tempo 3

Job 5

operação 5, máquina 6, tempo 4

operação 4, máquina 8, tempo 3

operação 3, máquina 8, tempo 4

operação 2, máquina 4, tempo 5
operação 2, máquina 2, tempo 4

operação 1, máquina 1, tempo 3

Job 6

operação 3, máquina 6, tempo 8

operação 2, máquina 5, tempo 8
operação 2, máquina 4, tempo 7

operação 1, máquina 3, tempo 6
operação 1, máquina 2, tempo 5
operação 1, máquina 1, tempo 3

Job 7

operação 5, máquina 3, tempo 3

operação 4, máquina 8, tempo 5
operação 4, máquina 6, tempo 6
operação 4, máquina 4, tempo 4

operação 3, máquina 5, tempo 5
operação 3, máquina 4, tempo 4
operação 3, máquina 3, tempo 3

operação 2, máquina 8, tempo 4

operação 1, máquina 6, tempo 4

Job 8

operação 5, máquina 8, tempo 2
operação 5, máquina 7, tempo 1

operação 4, máquina 6, tempo 6
operação 4, máquina 4, tempo 4

operação 3, máquina 7, tempo 5
operação 3, máquina 3, tempo 4

operação 2, máquina 8, tempo 4

operação 1, máquina 6, tempo 4
operação 1, máquina 2, tempo 4
operação 1, máquina 1, tempo 3
